model,seed,portfolio,n_periods,gross_mean_return_decimal,average_turnover_one_way_including_initial,break_even_cost_bps_mean_net_return_zero
FinPFN,42,long,301,0.0004643465715162818,0.9181505358923157,5.057412192925433
LightGBM,42,long,301,0.0006563634882545558,0.7649698500769382,8.580253041195556
Ridge,42,long,301,0.0005544671857651703,0.729183252225294,7.603948446060277
TabPFN,42,long,301,-0.001218170662615934,0.9108361188323566,-13.37420242159
FinPFN,42,long_short,301,0.0014792448418651423,1.7829807915323694,8.296470993351624
LightGBM,42,long_short,301,0.0018092565532312518,1.5516270498384996,11.660382908506058
Ridge,42,long_short,301,0.0018756315563346615,1.4788131854046738,12.683356997668366
TabPFN,42,long_short,301,-0.001940797037359147,1.8271595772286087,-10.62193506000664
FinPFN,42,short,301,0.0010148982703488602,0.8648302556400537,11.735230858658415
LightGBM,42,short,301,0.0011528930649766958,0.7866571997615615,14.655596685902598
Ridge,42,short,301,0.001321164370569491,0.7496299331793796,17.62422112689767
TabPFN,42,short,301,-0.0007226263747432129,0.916323458396252,-7.886149460889635
