model,region,n_dates,mean_assets,mean_rank_ic,rank_ic_std_ddof1,mean_raw_return_decimal,mean_absolute_rank_error,rank_ic_ir
FinPFN,bottom_20pct,301,80.12624584717608,0.03812263134920301,0.11778531763153201,-0.0008413679662711033,0.3947084783389125,0.3236619989297995
FinPFN,bottom_decile,301,40.538205980066444,0.028679374655108107,0.16755656552826273,-0.00101489827034886,0.4258417019681664,0.17116234487553156
FinPFN,full_universe,301,400.7308970099668,0.04559685291395156,0.064040335495497,-0.00013597625366229738,0.3204904596360344,0.7120020930739457
FinPFN,middle_20_to_80pct,301,240.47840531561462,0.023980656114202387,0.06874127718713652,-8.275880586188785e-05,0.2703767011464103,0.3488538051005235
FinPFN,top_20pct,301,80.12624584717608,0.0032733624558272468,0.11162152617345591,0.0004104499028226714,0.39667774802496103,0.029325548288423837
FinPFN,top_decile,301,39.6312292358804,0.006786541103817452,0.1630915643164851,0.0004643465715162819,0.43813618374762303,0.04161184627947968
LightGBM,bottom_20pct,301,80.12624584717608,0.05055471826953435,0.11633544069301126,-0.0008602436340582658,0.392216456039114,0.43455990683818657
LightGBM,bottom_decile,301,40.538205980066444,0.03981765830125696,0.1686433182354034,-0.0011528930649766958,0.42289384381770023,0.23610575691873462
LightGBM,full_universe,301,400.7308970099668,0.03643387027794352,0.06430512084896926,-0.00013597625366229738,0.31718622306541794,0.566578054701339
LightGBM,middle_20_to_80pct,301,240.47840531561462,0.01871862275824826,0.07205100609433453,-7.404629569952512e-05,0.2622945483712269,0.25979682689982775
LightGBM,top_20pct,301,80.12624584717608,-1.1684732670457795e-05,0.11791461344445898,0.0004026968169539579,0.40690871042325166,-9.909486474262687e-05
LightGBM,top_decile,301,39.6312292358804,-0.009688916587423097,0.16600133285856922,0.0006563634882545559,0.44758661874292877,-0.05836649875382577
Ridge,bottom_20pct,301,80.12624584717608,0.05214033845340782,0.1202259432413284,-0.0008896265316173935,0.39184905585548113,0.4336862498033973
Ridge,bottom_decile,301,40.538205980066444,0.05264824185409478,0.16154910140721573,-0.0013211643705694912,0.42105046753985675,0.3258962222351501
Ridge,full_universe,301,400.7308970099668,0.0374090905011318,0.06937754002441648,-0.00013597625366229738,0.31857766779016317,0.539210391258701
Ridge,middle_20_to_80pct,301,240.47840531561462,0.015261405229424584,0.07261279846811229,-9.781423176112163e-05,0.26530791787440067,0.21017514200511894
Ridge,top_20pct,301,80.12624584717608,-0.006215848581409543,0.12191919859692502,0.0005028413464151657,0.40517417430311964,-0.05098334514123288
Ridge,top_decile,301,39.6312292358804,0.00017607284399359562,0.17315016439117706,0.0005544671857651704,0.4474172042634414,0.0010168794503470162
TabPFN,bottom_20pct,301,80.12624584717608,-0.0013387813348408452,0.12147259259873251,0.0006058670388326568,0.42413629899801364,-0.011021262543257963
TabPFN,bottom_decile,301,40.538205980066444,-0.007626246882503176,0.16497242456151429,0.0007226263747432129,0.4640371050510713,-0.046227403778378306
TabPFN,full_universe,301,400.7308970099668,-0.037758247031813755,0.0722127842187625,-0.00013597625366229738,0.3352510825992325,-0.5228748266709722
TabPFN,middle_20_to_80pct,301,240.47840531561462,-0.020939781333803455,0.07458785452603496,-0.00015590863775147092,0.2733816635762471,-0.280739826435072
TabPFN,top_20pct,301,80.12624584717608,-0.04102028128487361,0.12943771652530806,-0.0008169466155195709,0.4320387540203529,-0.3169113484542444
TabPFN,top_decile,301,39.6312292358804,-0.039731637140284035,0.1717065805718719,-0.001218170662615934,0.4845946032601372,-0.23139262926299672
